feature_id,Name,Type,Known Driver Genes (cna only),Count
"180","MLL_mut","coding variant","","265"
"186","MSR1_mut","coding variant","","265"
"187","MTOR_mut","coding variant","","265"
"188","MYC_mut","coding variant","","265"
"190","MYH11_mut","coding variant","","265"
"191","MYH14_mut","coding variant","","265"
"192","MYH9_mut","coding variant","","265"
"193","NCOR1_mut","coding variant","","265"
"194","NCOR2_mut","coding variant","","265"
"195","NF1_mut","coding variant","","265"
"196","NF2_mut","coding variant","","265"
"197","NFE2L2_mut","coding variant","","265"
"198","NOTCH1_mut","coding variant","","265"
"199","NOTCH2_mut","coding variant","","265"
"201","NR4A2_mut","coding variant","","265"
"202","NRAS_mut","coding variant","","265"
"203","NSD1_mut","coding variant","","265"
"206","NUP93_mut","coding variant","","265"
"207","NUP98_mut","coding variant","","265"
"208","PABPC3_mut","coding variant","","265"
"209","PBRM1_mut","coding variant","","265"
"210","PCDH18_mut","coding variant","","265"
"211","PCSK5_mut","coding variant","","265"
"212","PGR_mut","coding variant","","265"
"213","PHF6_mut","coding variant","","265"
"214","PHLPP1_mut","coding variant","","265"
"215","PIK3C2B_mut","coding variant","","265"
"216","PIK3CA_mut","coding variant","","265"
"217","PIK3CB_mut","coding variant","","265"
"218","PIK3R1_mut","coding variant","","265"
"219","PLCB1_mut","coding variant","","265"
"221","PLXNA1_mut","coding variant","","265"
"222","PLXNB2_mut","coding variant","","265"
"224","POLR2B_mut","coding variant","","265"
"225","PPP2R1A_mut","coding variant","","265"
"226","PSIP1_mut","coding variant","","265"
"227","PTCH1_mut","coding variant","","265"
"228","PTEN_mut","coding variant","","265"
"229","PTPN11_mut","coding variant","","265"
"230","PTPRU_mut","coding variant","","265"
"231","RAC1_mut","coding variant","","265"
"232","RAD21_mut","coding variant","","265"
"233","RASA1_mut","coding variant","","265"
"234","RASA2_mut","coding variant","","265"
"235","RB1_mut","coding variant","","265"
"236","RBM10_mut","coding variant","","265"
"237","RBM5_mut","coding variant","","265"
"238","RGS3_mut","coding variant","","265"
"239","RHOA_mut","coding variant","","265"
"241","RNF43_mut","coding variant","","265"
"242","ROBO2_mut","coding variant","","265"
"243","RPGR_mut","coding variant","","265"
"244","RPL5_mut","coding variant","","265"
"245","RTN4_mut","coding variant","","265"
"246","RUNX1_mut","coding variant","","265"
"248","SACS_mut","coding variant","","265"
"249","SCAI_mut","coding variant","","265"
"250","SEC31A_mut","coding variant","","265"
"251","SETD2_mut","coding variant","","265"
"252","SETDB1_mut","coding variant","","265"
"254","SIN3A_mut","coding variant","","265"
"255","SMAD2_mut","coding variant","","265"
"256","SMAD4_mut","coding variant","","265"
"257","SMARCA1_mut","coding variant","","265"
"258","SMARCA4_mut","coding variant","","265"
"259","SMARCB1_mut","coding variant","","265"
"261","SOS1_mut","coding variant","","265"
"262","SOS2_mut","coding variant","","265"
"263","SOX9_mut","coding variant","","265"
"264","SPOP_mut","coding variant","","265"
"265","SPTAN1_mut","coding variant","","265"
"266","SRGAP1_mut","coding variant","","265"
"267","SRGAP3_mut","coding variant","","265"
"268","STAG1_mut","coding variant","","265"
"269","STAG2_mut","coding variant","","265"
"270","STIP1_mut","coding variant","","265"
"271","STK11_mut","coding variant","","265"
"273","SVEP1_mut","coding variant","","265"
"274","TAF1_mut","coding variant","","265"
"275","TAOK1_mut","coding variant","","265"
